City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,shadrinsk,56.0852,63.6335,6.25,57,6,7.01,RU,1681101094
350,kenai,60.5544,-151.2583,-5.48,62,100,3.09,US,1681101094
351,malanje,-9.5402,16.341,17.27,99,97,1.03,AO,1681101094
352,mapiripan,2.8892,-72.1256,21.39,94,88,1.6,CO,1681101095
353,pangai,-19.8,-174.35,29.06,79,20,5.14,TO,1681101095
354,atlantic city,39.3643,-74.4229,7.22,76,0,3.58,US,1681101095
355,muros,42.7762,-9.0603,13.38,90,100,3.11,ES,1681101095
356,amlimay,16.6938,120.837,23.03,52,78,0.45,PH,1681101096
357,verkhnyaya toyma,62.2349,44.9985,0.31,82,100,2.27,RU,1681101096
358,saint-pierre,-21.3393,55.4781,26.98,73,0,2.06,RE,1681101096
359,laem sing,12.4816,102.0738,33.0,84,97,3.28,TH,1681101096
360,sinop,41.7711,34.8709,6.24,80,95,2.4,TR,1681100680
361,touros,-5.1989,-35.4608,24.75,92,100,4.26,BR,1681101097
362,aktau,43.65,51.2,12.32,54,4,2.8,KZ,1681101097
363,mount gambier,-37.8333,140.7667,14.95,61,93,3.63,AU,1681101097
364,souillac,-20.5167,57.5167,26.21,89,40,4.63,MU,1681101097
365,wilmington,34.2257,-77.9447,8.95,67,0,7.2,US,1681100656
366,gornyak,50.9942,81.4661,5.84,34,71,5.38,RU,1681101098
